kîadka3.2 do windy na 3 levelu,       13,  0,34, 7, 5,69, 1,   0,  4, 4, 3,
kîadka3.3 do windy na 3 levelu,       13,  0,34, 7, 6,70, 1,   0,  4, 4, 3,
kîadka3.4 do windy na 3 levelu,       13,  0,34, 7, 7, 0, 1,   0,  4, 4, 3,
--- {70} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

przycisk uruchamiajâcy kîadkë 3.1,     1, 32,33,67, 0, 0, 1,   0,  0, 0, 0,
p windyL4   ,                          1, 32,33,73, 0, 0, 1,   0,  0, 0, 0,
winda L4    ,                          5,  7,10, 0, 0, 0, 1,   0,  0, 0, 0,
* drzwi do centrum dowodzenia na 3 levelu,2,22,34,43, 0, 0, 1,   0,  0, 0, 0,
flop do centrum dowodzenia ,           6, 57,58,94,79, 0, 1,   0,  0, 0, 0,
drzwi nr1  do bloku medycznego,        2, 22,34,43, 0, 0, 1,   0,  0, 0, 0,
przycisk do drzwi1 bloku medycznego,   1, 65,66,76, 0, 0, 1,   0,  0, 0, 0,
drzwi nr2  do bloku medycznego,        2, 22,34,43, 0, 0, 1,   0,  0, 0, 0,
przycisk do drzwi2 bloku medycznego,   1, 65,66,78, 0, 0, 1,   0,  0, 0, 0,
drzwi boczne w bloku medycznym,        3, 48,49,45, 0, 0, 1,   0,  0, 0, 0,
--- {80} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

przycisk do drzwi bocznych blk med.,   1, 65,66,80, 0, 0, 1,   0,  0, 0, 0,
kîadka na platformë 4.2.1,            13,  0, 8, 9, 8,83, 1,   0,  2, 3, 4,
kîadka na platformë 4.2.2 podkîad,    13,  0, 2, 9, 9,84, 1,   0,  2, 3, 4,  
kîadka na platformë 4.2.3,            13,  0, 8, 0, 8,85, 1,   0,  3, 3, 4,
kîadka na platformë 4.2.4 podkîad,    13,  0, 1, 0, 9, 0, 1,   0,  3, 3, 4,  
przycisk uruchamiajâcy kîadkë 4.2,     1, 32,33,82, 0, 0, 1,   0,  0, 0, 0,
przyc. pal 3.1,                        1, 65,66,88, 0, 0, 1,   0,  0, 0, 0,
paleta     3.1,                        4,  0, 5, 0, 0, 0, 1,   0,  0, 0, 0,
drzwi kolckowe 3.3.1,                 14, 65,35, 4, 0,90, 1,   0,  3, 3, 3,  
drzwi kolckowe 3.3.2,                 14, 38,35, 4, 1,91, 1,   0,  3, 3, 3, 
--- {90} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

drzwi kolckowe 3.3.3,                 14, 39,64, 4, 2,92, 1,   0,  3, 3, 3, 
drzwi kolckowe 3.3.4 zatyczka,        14, 65,35, 4,15, 0, 1,   0,  3, 2, 3, 
przycisk drzwi 3.3.1,                  1, 32,33,89, 0, 0, 1,   0,  0, 0, 0,
drzwi do centrum dowodzenia 3.4.1,    14, 65,35, 4, 0,95, 1,   0,  2, 4, 3,  
drzwi do centrum dowodzenia 3.4.2,    14, 38,35, 4, 1,96, 1,   0,  2, 4, 3, 
drzwi do centrum dowodzenia 3.4.3,    14, 39,64, 4, 2,97, 1,   0,  2, 4, 3, 
drzwi do centrum dowodzenia 3.4.4 zat,14, 41,35, 4,15,98, 1,   0,  2, 3, 3, 
drzwi do centrum dowodzenia 3.4.5,    14, 65,35, 5, 0,99, 1,   0,  2, 4, 3,  
drzwi do centrum dowodzenia 3.4.6,    14, 38,35, 5, 1,100,1,   0,  2, 4, 3, 
drzwi do centrum dowodzenia 3.4.7,    14, 39,64, 5, 2,101,1,   0,  2, 4, 3, 
-- {100} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

drzwi do centrum dowodzenia 3.4.8 zat,14, 41,35, 5,15, 0, 1,   0,  2, 3, 3, 
drzwi do komplexu 2.1.1,              14, 65,35, 3, 0,103,2,   0,  2, 2, 2,  
drzwi do komplexu 2.1.2,              14, 38,35, 3, 1,104,1,   0,  2, 2, 2, 
drzwi do komplexu 2.1.3,              14, 39,64, 3, 2,105,1,   0,  2, 2, 2, 
drzwi do komplexu zatyczka,           14, 65,35, 3,15, 0, 1,   0,  2, 1, 2, 
przycisk do komplexu,                  1, 32,33,102,0, 0, 1,   0,  0, 0, 0,
drzwi do bunkra 2.2.1,                14, 65,34, 1, 0,108,1,   0,  0, 4, 2,  
drzwi do bunkra 2.2.2,                14, 38,34, 1, 1,109,1,   0,  0, 4, 2, 
drzwi do bunkra 2.2.3,                14, 39,64, 1, 2,110,1,   0,  0, 4, 2, 
drzwi do bunkra zatyczka,             14, 65,35, 1,15, 0, 1,   0,  0, 3, 2, 
-- {110} ----------------------------- 0---1--2--3--4--5--6----7---8--9--10,

flop do bunkra 2,                      6, 57,58,107,57,0, 1,   0,  0, 0, 0,
drzwi do bunkra 1.2.1,                14, 65,8, 1, 0,113, 1,   0,  0, 4, 1,  
drzwi do bunkra 1.2.2,                14, 38,8, 1, 1,114, 1,   0,  0, 4, 1, 
drzwi do bunkra 1.2.3,                14, 39,64,1, 2,115, 1,   0,  0, 4, 1, 
drzwi do bunkra zatyczka,             14, 41,34,1,15, 0,  1,   0,  0, 3, 1, 
flop do bunkra 1,                      1, 65,66,112,0,0,  1,   0,  0, 0, 0,





 
